X,Y,FID,site_id,Company,Corp,Site,State,PADD,AD_Mbpd,VDist_Mbpd,CaDis_Mbpd,HyCrk_Mbpd,VRedu_Mbpd,CaRef_Mbpd,Isal_Mbpd,HDS_Mbpd,Cokin_Mbpd,Asph_Mbpd,Source,Period_,Latitude,Longitude,Link_Imports
-90.40413,30.001717,57,276,SHELL OIL PRODUCTS US,ROYAL DUTCH/SHELL GROUP,Norco,Louisiana,3,250,91.3,118.8,44,,40,18.1,189,28.5,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,30.001717,-90.40413,1
-122.562522,48.4943690000001,58,278,TESORO REFINING & MARKETING CO,MARATHON PETROLEUM CORP,Anacortes,Washington,5,120,47,54.5,,,28.5,23.5,101,,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,48.494369,-122.562522,1
-122.111017,38.019952,59,279,MARTINEZ REFINING CO LLC,PBF ENERGY CO LLC,Martinez,California,5,157,101,72,42.9,,31,27.8,262.5,49.3,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,38.019952,-122.111017,1
-83.453963,41.6800210000001,60,287,BP-HUSKY REFINING LLC,BP HUSKY REFINING LLC,Toledo,Ohio,2,160,72.5,55,31.8,,42,11.5,117.5,36,9,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,41.680021,-83.453963,1
-84.1246399999999,40.715965,61,288,LIMA REFINING COMPANY,HUSKY ENERGY INC,Lima,Ohio,2,185,57,45.3,26,,55,23.2,158,23,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,40.715965,-84.12464,1
-89.979839,29.684405,62,289,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,Belle Chasse,Louisiana,3,269.1,104.2,107,,,48.5,35,197.7,26,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,29.684405,-89.979839,1
-87.480268,41.668103,63,297,BP PRODUCTS NORTH AMERICA INC,BP PLC,Whiting,Indiana,2,440,276.2,184,,,67,59.9,579.2,102,29.5,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,41.668103,-87.480268,1
-100.883767,46.849832,64,300,TESORO REFINING & MARKETING CO,MARATHON PETROLEUM CORP,Mandan,North Dakota,2,74,,30.6,,,12.5,4.8,60.3,,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,46.849832,-100.883767,0
-94.933456,29.374692,65,301,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,Galveston Bay,Texas,3,625,259.5,205.5,163,,144.5,61,429.5,33,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,29.374692,-94.933456,1
-111.905455,40.792315,66,302,TESORO REFINING & MARKETING CO,MARATHON PETROLEUM CORP,Salt Lake City,Utah,4,66.5,,24.5,,,11.5,7.5,42,,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,40.792315,-111.905455,1
-83.50492,41.6288900000001,67,308,TOLEDO REFINING CO LLC,PBF ENERGY CO LLC,Toledo,Ohio,2,180,,82,52,,51.8,10,149.9,,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,41.62889,-83.50492,1
-96.0226969999999,36.1391330000001,68,309,HOLLYFRONTIER TULSA REFINING LLC,HOLLYFRONTIER CORP,Tulsa West,Oklahoma,2,91,32,,,,,0.9,49.6,11,6.5,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,36.139133,-96.022697,1
-151.376675,60.6823350000001,69,314,TESORO ALASKA COMPANY LLC,MARATHON PETROLEUM CORP,Kenai,Alaska,5,72,26,,13,,13.5,5,24.5,,9.5,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,60.682335,-151.376675,1
-96.872662,37.797473,70,317,HOLLYFRONTIER EL DORADO REFINING LLC,HOLLYFRONTIER CORP,El Dorado,Kansas,2,165,65,44,,,31,30.5,193,22.5,4,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,37.797473,-96.872662,1
-122.556244,48.470693,71,322,Shell Oil Products US,ROYAL DUTCH/SHELL GROUP,Anacortes,Washington,5,149,65.8,57.9,,,21.7,12.5,130.5,25.3,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,48.470693,-122.556244,1
-122.397126,47.2557860000001,72,329,US OIL & REFINING CO,PAR PETROLEUM INC,Tacoma,Washington,5,42,19.2,,,,6.8,4.5,18.9,,8.7,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,47.255786,-122.397126,1
-122.696618,48.830501,73,333,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,Ferndale,Washington,5,110.5,48.1,38,,,18.5,15.6,91.3,,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,48.830501,-122.696618,1
-74.2223499999999,40.6358760000001,74,335,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,Linden,New Jersey,1,272.1,75,145,,,37,22.8,191,,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,40.635876,-74.22235,1
-75.403896,39.8191430000001,75,336,MONROE ENERGY LLC,DELTA AIR LINES INC,Trainer,Pennsylvania,1,208,73,53,23,,50,12,190.6,,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,39.819143,-75.403896,1
